window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,246,≥25,25,0.625289,0.00427248,0.00422813,-0.0104897,0.0043139,3.57936e+06,
6,246,AVG,,0.721668,0.065263,,-0.191413,,,4
6,252,≥0.1,0.1,0.752695,0.190567,0.122777,-0.552134,0.160109,3.58335e+06,
6,252,≥4,4,0.799324,0.0436482,0.0411327,-0.0611551,0.045621,3.58335e+06,
6,252,≥13,13,0.70792,0.0142416,0.0139999,-0.0172692,0.0146871,3.58335e+06,
6,252,≥25,25,0.588683,0.00513051,0.00504828,-0.0162885,0.00517253,3.58335e+06,
6,252,AVG,,0.712156,0.0633968,,-0.161712,,,4
6,258,≥0.1,0.1,0.757237,0.142468,0.120828,-0.1791,0.154058,3.57361e+06,
6,258,≥4,4,0.76395,0.036157,0.035497,-0.0185947,0.0381773,3.57361e+06,
6,258,≥13,13,0.662482,0.0113703,0.0111959,-0.0155718,0.011558,3.57361e+06,
6,258,≥25,25,0.583397,0.00412719,0.00407811,-0.0120353,0.00415126,3.57361e+06,
6,258,AVG,,0.691767,0.0485306,,-0.0563254,,,4
6,264,≥0.1,0.1,0.763041,0.145293,0.127873,-0.13623,0.168372,3.57054e+06,
6,264,≥4,4,0.781887,0.0402342,0.0396681,-0.014269,0.0433923,3.57054e+06,
6,264,≥13,13,0.720636,0.0140859,0.0139302,-0.0111758,0.0145275,3.57054e+06,
6,264,≥25,25,0.623366,0.00548464,0.00541258,-0.0133134,0.00553837,3.57054e+06,
6,264,AVG,,0.722232,0.0512743,,-0.0437471,,,4
6,270,≥0.1,0.1,0.729618,0.204867,0.121876,-0.680943,0.155822,3.56939e+06,
6,270,≥4,4,0.778749,0.037953,0.0363554,-0.0439453,0.0395847,3.56939e+06,
6,270,≥13,13,0.718712,0.0121229,0.0119973,-0.0104678,0.012482,3.56939e+06,
6,270,≥25,25,0.614529,0.00428827,0.00423994,-0.0113989,0.00432595,3.56939e+06,
6,270,AVG,,0.710402,0.0648078,,-0.186689,,,4
6,276,≥0.1,0.1,0.737048,0.191227,0.123049,-0.55407,0.160508,3.57334e+06,
6,276,≥4,4,0.786481,0.0438972,0.0412443,-0.0643218,0.0457459,3.57334e+06,
6,276,≥13,13,0.686215,0.0143685,0.0140391,-0.0234677,0.0147282,3.57334e+06,
6,276,≥25,25,0.569011,0.00515929,0.00506241,-0.0191369,0.00518702,3.57334e+06,
