window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,348,≥0.1,0.1,0.714425,0.190834,,-0.408576,0.161592,3.54336e+06,
6,348,≥4,4,0.767671,0.043908,,0.00203546,0.0461251,3.54336e+06,
6,348,≥13,13,0.674926,0.0145182,,0.0077955,0.0148528,3.54336e+06,
6,348,≥25,25,0.557386,0.00521503,,-0.00220768,0.0052309,3.54336e+06,
6,348,AVG,,0.678602,0.0636188,,-0.100238,,,4
6,354,≥0.1,0.1,0.710874,0.145518,,-0.10865,0.155409,3.53367e+06,
6,354,≥4,4,0.722772,0.0366204,,0.0130728,0.038595,3.53367e+06,
6,354,≥13,13,0.633924,0.0115337,,0.00144433,0.011687,3.53367e+06,
6,354,≥25,25,0.553645,0.00419134,,-0.00264434,0.00419791,3.53367e+06,
6,354,AVG,,0.655304,0.0494659,,-0.0241942,,,4
6,360,≥0.1,0.1,0.721985,0.149024,,-0.0566679,0.169897,3.53068e+06,
6,360,≥4,4,0.741193,0.0408605,,0.0257693,0.0438654,3.53068e+06,
6,360,≥13,13,0.678334,0.0143547,,0.00824532,0.0146898,3.53068e+06,
6,360,≥25,25,0.584236,0.00557479,,-0.00104529,0.00560033,3.53068e+06,
6,360,AVG,,0.681437,0.0524534,,-0.00592464,,,4
